file,operation
exch_uv_3d_r4.f.xml,EXCH_UV_3D_R4
exch_uv_3d_r8.f.xml,EXCH_UV_3D_R8
exch_uv_3d_rl.f.xml,EXCH_UV_3D_RL
exch_uv_3d_rs.f.xml,EXCH_UV_3D_RS
exch_uv_agrid_3d_r4.f.xml,EXCH_UV_AGRID_3D_R4
exch_uv_agrid_3d_r8.f.xml,EXCH_UV_AGRID_3D_R8
exch_uv_agrid_3d_rl.f.xml,EXCH_UV_AGRID_3D_RL
exch_uv_agrid_3d_rs.f.xml,EXCH_UV_AGRID_3D_RS
exch_uv_bgrid_3d_r4.f.xml,EXCH_UV_BGRID_3D_R4
exch_uv_bgrid_3d_r8.f.xml,EXCH_UV_BGRID_3D_R8
exch_uv_bgrid_3d_rl.f.xml,EXCH_UV_BGRID_3D_RL
exch_uv_bgrid_3d_rs.f.xml,EXCH_UV_BGRID_3D_RS
exch_uv_dgrid_3d_r4.f.xml,EXCH_UV_DGRID_3D_R4
exch_uv_dgrid_3d_r8.f.xml,EXCH_UV_DGRID_3D_R8
exch_uv_dgrid_3d_rl.f.xml,EXCH_UV_DGRID_3D_RL
exch_uv_dgrid_3d_rs.f.xml,EXCH_UV_DGRID_3D_RS
exch_uv_xy_r4.f.xml,EXCH_UV_XY_R4
exch_uv_xy_r8.f.xml,EXCH_UV_XY_R8
exch_uv_xy_rl.f.xml,EXCH_UV_XY_RL
exch_uv_xy_rs.f.xml,EXCH_UV_XY_RS
exch_uv_xyz_r4.f.xml,EXCH_UV_XYZ_R4
exch_uv_xyz_r8.f.xml,EXCH_UV_XYZ_R8
exch_uv_xyz_rl.f.xml,EXCH_UV_XYZ_RL
exch_uv_xyz_rs.f.xml,EXCH_UV_XYZ_RS
exch_xy_r4.f.xml,EXCH_XY_R4
exch_xy_r8.f.xml,EXCH_XY_R8
exch_xy_rl.f.xml,EXCH_XY_RL
exch_xy_rs.f.xml,EXCH_XY_RS
exch_xyz_r4.f.xml,EXCH_XYZ_R4
exch_xyz_r8.f.xml,EXCH_XYZ_R8
exch_xyz_rl.f.xml,EXCH_XYZ_RL
exch_xyz_rs.f.xml,EXCH_XYZ_RS
