source-path,source-module,source-operation,target-path,target-module,target-operation,direction
./apps/matplotlib/lib/matplotlib/tests/test_colors.py,matplotlib.tests.test_colors,nn,./apps/matplotlib/galleries/examples/mplot3d/voxels_torus.py,voxels_torus,norm,WRITE
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,d2,./apps/matplotlib/galleries/examples/units/radian_demo.py,radian_demo,x,WRITE
./apps/matplotlib/lib/matplotlib/dates.py,matplotlib.dates,dt,./apps/matplotlib/lib/matplotlib/colorizer.py,matplotlib.colorizer,np.nan,WRITE
./apps/matplotlib/lib/matplotlib/tests/test_determinism.py,matplotlib.tests.test_determinism.PathClippedImagePatch,self.bbox_image,./apps/matplotlib/galleries/examples/units/radian_demo.py,radian_demo,BboxImage,WRITE
./apps/matplotlib/lib/matplotlib/colors.py,matplotlib.colors,r,./apps/matplotlib/galleries/examples/images_contours_and_fields/image_demo.py,image_demo,to_rgba_array.T,WRITE
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,d2,./apps/matplotlib/galleries/examples/images_contours_and_fields/image_demo.py,image_demo,ymin,WRITE
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,d2,./apps/matplotlib/galleries/examples/units/radian_demo.py,radian_demo,xmin,WRITE
./apps/matplotlib/lib/matplotlib/spines.py,matplotlib.spines,tickdir,./apps/matplotlib/lib/matplotlib/tests/test_text.py,matplotlib.tests.test_text,tick._tickdir,WRITE
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,d2,./apps/matplotlib/galleries/examples/images_contours_and_fields/image_demo.py,image_demo,y,WRITE
./apps/matplotlib/lib/matplotlib/ticker.py,matplotlib.ticker,vmin,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,LogLocator,WRITE
./apps/matplotlib/lib/matplotlib/colors.py,matplotlib.colors,g,./apps/matplotlib/galleries/examples/images_contours_and_fields/image_demo.py,image_demo,to_rgba_array.T,WRITE
./apps/matplotlib/lib/matplotlib/dates.py,matplotlib.dates,tz,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,_get_tzinfo,WRITE
./apps/matplotlib/lib/matplotlib/spines.py,matplotlib.spines,dpi,./apps/matplotlib/lib/matplotlib/colorizer.py,matplotlib.colorizer,Spine,WRITE
./apps/matplotlib/lib/matplotlib/tests/test_colors.py,matplotlib.tests.test_colors,xx,./apps/matplotlib/galleries/examples/images_contours_and_fields/image_demo.py,image_demo,np.array,WRITE
./apps/matplotlib/lib/matplotlib/ticker.py,matplotlib.ticker,vmax,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,LogLocator,WRITE
./apps/matplotlib/lib/matplotlib/tests/test_text.py,matplotlib.tests.test_text,angles,./apps/matplotlib/lib/matplotlib/colorizer.py,matplotlib.colorizer,np.linspace,WRITE
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,paths,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,ContourSet,WRITE
./apps/matplotlib/lib/matplotlib/colors.py,matplotlib.colors,b,./apps/matplotlib/galleries/examples/images_contours_and_fields/image_demo.py,image_demo,to_rgba_array.T,WRITE
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,n_paths,./apps/matplotlib/lib/matplotlib/colorizer.py,matplotlib.colorizer,len,WRITE
./apps/matplotlib/lib/mpl_toolkits/mplot3d/tests/test_axes3d.py,matplotlib.tests.test_axes3d,fig,./apps/matplotlib/lib/matplotlib/tests/test_arrow_patches.py,matplotlib.tests.test_arrow_patches,plt.figure,WRITE
