file,operation
diags_phi_rlow.f.xml,DIAGS_PHI_RLOW
diags_rho.f.xml,DIAGS_RHO_G
diags_rho.f.xml,DIAGS_RHO_L
diagstats_ascii_out.f.xml,DIAGSTATS_ASCII_OUT
diagstats_calc.f.xml,DIAGSTATS_CALC
diagstats_clear.f.xml,DIAGSTATS_CLEAR
diagstats_clear.f.xml,DIAGSTATS_CLRDIAG
diagstats_close_io.f.xml,DIAGSTATS_CLOSE_IO
diagstats_fill.f.xml,DIAGSTATS_FILL
diagstats_global.f.xml,DIAGSTATS_GLOBAL
diagstats_ini_io.f.xml,DIAGSTATS_INI_IO
diagstats_local.f.xml,DIAGSTATS_LOCAL
diagstats_mnc_out.f.xml,DIAGSTATS_MNC_OUT
diagstats_others_calc.f.xml,DIAGSTATS_LM_CALC
diagstats_others_calc.f.xml,DIAGSTATS_G_CALC
diagstats_output.f.xml,DIAGSTATS_OUTPUT
diagstats_set_pointers.f.xml,DIAGSTATS_SET_POINTERS
diagstats_set_regions.f.xml,DIAGSTATS_SET_REGIONS
diagstats_setdiag.f.xml,DIAGSTATS_SETDIAG
diff_phase_multiple.f.xml,DIFF_PHASE_MULTIPLE
different_multiple.f.xml,DIFFERENT_MULTIPLE
do_atmospheric_phys.f.xml,DO_ATMOSPHERIC_PHYS
do_fields_blocking_exchanges.f.xml,DO_FIELDS_BLOCKING_EXCHANGES
do_oceanic_phys.f.xml,DO_OCEANIC_PHYS
do_stagger_fields_exchanges.f.xml,DO_STAGGER_FIELDS_EXCHANGES
do_statevars_diags.f.xml,DO_STATEVARS_DIAGS
do_statevars_tave.f.xml,DO_STATEVARS_TAVE
do_the_model_io.f.xml,DO_THE_MODEL_IO
do_write_pickup.f.xml,DO_WRITE_PICKUP
dynamics.f.xml,DYNAMICS
eeboot.f.xml,EEBOOT
eeboot_minimal.f.xml,EEBOOT_MINIMAL
eedata_example.f.xml,EEDATA_EXAMPLE
eedie.f.xml,EEDIE
eeintro_msg.f.xml,EEINTRO_MSG
eeset_parms.f.xml,EESET_PARMS
eewrite_eeenv.f.xml,EEWRITE_EEENV
eta_gl_prime_streamice.f.xml,ETA_GL_PRIME_STREAMICE
eta_gl_streamice.f.xml,ETA_GL_STREAMICE
eta_gl_streamice_prime.f.xml,ETA_GL_STREAMICE_PRIME
exch0_r4.f.xml,EXCH0_R4
exch0_r4.f.xml,FILL_HALO_LOCAL_R4
exch0_r8.f.xml,EXCH0_R8
exch0_r8.f.xml,FILL_HALO_LOCAL_R8
exch0_rl.f.xml,EXCH0_RL
exch0_rl.f.xml,FILL_HALO_LOCAL_RL
exch0_rs.f.xml,EXCH0_RS
exch0_rs.f.xml,FILL_HALO_LOCAL_RS
exch1_bg_r4_cube.f.xml,EXCH1_BG_R4_CUBE
exch1_bg_r8_cube.f.xml,EXCH1_BG_R8_CUBE
exch1_bg_rl_cube.f.xml,EXCH1_BG_RL_CUBE
exch1_bg_rs_cube.f.xml,EXCH1_BG_RS_CUBE
exch1_r4.f.xml,EXCH1_R4
exch1_r4_cube.f.xml,EXCH1_R4_CUBE
exch1_r8.f.xml,EXCH1_R8
exch1_r8_cube.f.xml,EXCH1_R8_CUBE
exch1_rl.f.xml,EXCH1_RL
exch1_rl_ad.f.xml,EXCH1_RL_AD
exch1_rl_cube.f.xml,EXCH1_RL_CUBE
exch1_rl_cube_ad.f.xml,EXCH1_BG_RL_CUBE_AD
exch1_rl_cube_ad.f.xml,EXCH1_Z_RL_CUBE_AD
exch1_rl_cube_ad.f.xml,EXCH1_RL_CUBE_AD
exch1_rl_cube_ad.f.xml,EXCH1_UV_RL_CUBE_AD
exch1_rs.f.xml,EXCH1_RS
exch1_rs_ad.f.xml,EXCH1_RS_AD
exch1_rs_cube.f.xml,EXCH1_RS_CUBE
exch1_rs_cube_ad.f.xml,EXCH1_BG_RS_CUBE_AD
exch1_rs_cube_ad.f.xml,EXCH1_UV_RS_CUBE_AD
exch1_rs_cube_ad.f.xml,EXCH1_RS_CUBE_AD
exch1_rs_cube_ad.f.xml,EXCH1_Z_RS_CUBE_AD
exch1_uv_r4_cube.f.xml,EXCH1_UV_R4_CUBE
exch1_uv_r8_cube.f.xml,EXCH1_UV_R8_CUBE
exch1_uv_rl_cube.f.xml,EXCH1_UV_RL_CUBE
exch1_uv_rs_cube.f.xml,EXCH1_UV_RS_CUBE
exch1_z_r4_cube.f.xml,EXCH1_Z_R4_CUBE
exch1_z_r8_cube.f.xml,EXCH1_Z_R8_CUBE
exch1_z_rl_cube.f.xml,EXCH1_Z_RL_CUBE
exch1_z_rs_cube.f.xml,EXCH1_Z_RS_CUBE
exch_3d_r4.f.xml,EXCH_3D_R4
exch_3d_r8.f.xml,EXCH_3D_R8
exch_3d_rl.f.xml,EXCH_3D_RL
exch_3d_rs.f.xml,EXCH_3D_RS
exch_cycle_ebl.f.xml,EXCH_CYCLE_EBL
exch_init.f.xml,EXCH_INIT
exch_r4_recv_get_x.f.xml,EXCH_R4_RECV_GET_X
exch_r4_recv_get_y.f.xml,EXCH_R4_RECV_GET_Y
exch_r4_send_put_x.f.xml,EXCH_R4_SEND_PUT_X
exch_r4_send_put_y.f.xml,EXCH_R4_SEND_PUT_Y
exch_r8_recv_get_x.f.xml,EXCH_R8_RECV_GET_X
exch_r8_recv_get_y.f.xml,EXCH_R8_RECV_GET_Y
exch_r8_send_put_x.f.xml,EXCH_R8_SEND_PUT_X
exch_r8_send_put_y.f.xml,EXCH_R8_SEND_PUT_Y
exch_rl_recv_get_x.f.xml,EXCH_RL_RECV_GET_X
exch_rl_recv_get_y.f.xml,EXCH_RL_RECV_GET_Y
exch_rl_send_put_x.f.xml,EXCH_RL_SEND_PUT_X
exch_rl_send_put_y.f.xml,EXCH_RL_SEND_PUT_Y
exch_rs_recv_get_x.f.xml,EXCH_RS_RECV_GET_X
exch_rs_recv_get_y.f.xml,EXCH_RS_RECV_GET_Y
exch_rs_send_put_x.f.xml,EXCH_RS_SEND_PUT_X
exch_rs_send_put_y.f.xml,EXCH_RS_SEND_PUT_Y
exch_s3d_r4.f.xml,EXCH_S3D_R4
exch_s3d_r8.f.xml,EXCH_S3D_R8
exch_s3d_rl.f.xml,EXCH_S3D_RL
exch_s3d_rs.f.xml,EXCH_S3D_RS
exch_sm_3d_r4.f.xml,EXCH_SM_3D_R4
exch_sm_3d_r8.f.xml,EXCH_SM_3D_R8
exch_sm_3d_rl.f.xml,EXCH_SM_3D_RL
exch_sm_3d_rs.f.xml,EXCH_SM_3D_RS
exch_uv_3d_r4.f.xml,EXCH_UV_3D_R4
exch_uv_3d_r8.f.xml,EXCH_UV_3D_R8
exch_uv_3d_rl.f.xml,EXCH_UV_3D_RL
exch_uv_3d_rs.f.xml,EXCH_UV_3D_RS
exch_uv_agrid_3d_r4.f.xml,EXCH_UV_AGRID_3D_R4
exch_uv_agrid_3d_r8.f.xml,EXCH_UV_AGRID_3D_R8
exch_uv_agrid_3d_rl.f.xml,EXCH_UV_AGRID_3D_RL
exch_uv_agrid_3d_rs.f.xml,EXCH_UV_AGRID_3D_RS
exch_uv_bgrid_3d_r4.f.xml,EXCH_UV_BGRID_3D_R4
exch_uv_bgrid_3d_r8.f.xml,EXCH_UV_BGRID_3D_R8
exch_uv_bgrid_3d_rl.f.xml,EXCH_UV_BGRID_3D_RL
exch_uv_bgrid_3d_rs.f.xml,EXCH_UV_BGRID_3D_RS
exch_uv_dgrid_3d_r4.f.xml,EXCH_UV_DGRID_3D_R4
exch_uv_dgrid_3d_r8.f.xml,EXCH_UV_DGRID_3D_R8
exch_uv_dgrid_3d_rl.f.xml,EXCH_UV_DGRID_3D_RL
exch_uv_dgrid_3d_rs.f.xml,EXCH_UV_DGRID_3D_RS
exch_uv_xy_r4.f.xml,EXCH_UV_XY_R4
exch_uv_xy_r8.f.xml,EXCH_UV_XY_R8
exch_uv_xy_rl.f.xml,EXCH_UV_XY_RL
exch_uv_xy_rs.f.xml,EXCH_UV_XY_RS
exch_uv_xyz_r4.f.xml,EXCH_UV_XYZ_R4
exch_uv_xyz_r8.f.xml,EXCH_UV_XYZ_R8
exch_uv_xyz_rl.f.xml,EXCH_UV_XYZ_RL
exch_uv_xyz_rs.f.xml,EXCH_UV_XYZ_RS
exch_xy_r4.f.xml,EXCH_XY_R4
exch_xy_r8.f.xml,EXCH_XY_R8
exch_xy_rl.f.xml,EXCH_XY_RL
exch_xy_rs.f.xml,EXCH_XY_RS
exch_xyz_r4.f.xml,EXCH_XYZ_R4
exch_xyz_r8.f.xml,EXCH_XYZ_R8
exch_xyz_rl.f.xml,EXCH_XYZ_RL
exch_xyz_rs.f.xml,EXCH_XYZ_RS
exch_z_3d_r4.f.xml,EXCH_Z_3D_R4
exch_z_3d_r8.f.xml,EXCH_Z_3D_R8
exch_z_3d_rl.f.xml,EXCH_Z_3D_RL
exch_z_3d_rs.f.xml,EXCH_Z_3D_RS
external_fields_load.f.xml,EXTERNAL_FIELDS_LOAD
external_forcing.f.xml,EXTERNAL_FORCING_U
external_forcing.f.xml,EXTERNAL_FORCING_V
external_forcing.f.xml,EXTERNAL_FORCING_S
external_forcing.f.xml,EXTERNAL_FORCING_T
external_forcing_surf.f.xml,EXTERNAL_FORCING_SURF
fill_cs_corner_ag_rl.f.xml,FILL_CS_CORNER_AG_RL
fill_cs_corner_tr_rl.f.xml,FILL_CS_CORNER_TR_RL
fill_cs_corner_uv_rl.f.xml,FILL_CS_CORNER_UV_RL
fill_cs_corner_uv_rs.f.xml,FILL_CS_CORNER_UV_RS
fill_in_corners_rl.f.xml,FILL_IN_CORNERS_RL
find_alpha.f.xml,FIND_BETA
find_alpha.f.xml,FIND_ALPHA
find_hyd_press_1d.f.xml,FIND_HYD_PRESS_1D
find_rho.f.xml,FIND_RHO_2D
find_rho.f.xml,FIND_RHO_SCALAR
find_rho.f.xml,FIND_RHODEN
find_rho.f.xml,FIND_BULKMOD
find_rho.f.xml,FIND_RHOTEOS
find_rho.f.xml,FIND_RHOP0
find_rho.f.xml,FIND_RHONUM
find_rho.f.xml,LOOK_FOR_NEG_SALINITY
fool_the_compiler.f.xml,FOOL_THE_COMPILER_RL
fool_the_compiler.f.xml,FOOL_THE_COMPILER_R8
fool_the_compiler.f.xml,FOOL_THE_COMPILER
forcing_surf_relax.f.xml,FORCING_SURF_RELAX
forward_step.f.xml,FORWARD_STEP
freesurf_rescale_g.f.xml,FREESURF_RESCALE_G
freeze_surface.f.xml,FREEZE_SURFACE
gather_2d_r4.f.xml,GATHER_2D_R4
gather_2d_r8.f.xml,GATHER_2D_R8
gather_2d_wh_r4.f.xml,GATHER_2D_WH_R4
gather_2d_wh_r8.f.xml,GATHER_2D_WH_R8
gather_vec_r4.f.xml,GATHER_VEC_R4
gather_vec_r8.f.xml,GATHER_VEC_R8
gather_xz.f.xml,GATHER_XZ
gather_yz.f.xml,GATHER_YZ
get_periodic_interval.f.xml,GET_PERIODIC_INTERVAL
get_write_global_fld.f.xml,GET_WRITE_GLOBAL_FLD
global_max.f.xml,GLOBAL_MAX_R4
global_max.f.xml,GLOBAL_MAX_R8
global_sum.f.xml,GLOBAL_SUM_R8
global_sum.f.xml,GLOBAL_SUM_R4
global_sum.f.xml,GLOBAL_SUM_INT
global_sum_singlecpu.f.xml,GLOBAL_SUM_SINGLECPU_RL
global_sum_tile.f.xml,GLOBAL_SUM_TILE_RL
global_vec_sum.f.xml,GLOBAL_VEC_SUM_R4
global_vec_sum.f.xml,GLOBAL_VEC_SUM_INT
global_vec_sum.f.xml,GLOBAL_VEC_SUM_R8
grad_sigma.f.xml,GRAD_SIGMA
gsum.f.xml,GSUM_R8_INIT
gsum.f.xml,GSUM_R8
gsw_teos10.f.xml,GSW_GIBBS_PT0_PT0
gsw_teos10.f.xml,GSW_CT_FROM_PT
gsw_teos10.f.xml,GSW_PT_FROM_CT
impldiff.f.xml,IMPLDIFF
ini_cartesian_grid.f.xml,INI_CARTESIAN_GRID
ini_cg2d.f.xml,INI_CG2D
ini_cg3d.f.xml,INI_CG3D
ini_communication_patterns.f.xml,INI_COMMUNICATION_PATTERNS
ini_cori.f.xml,INI_CORI
ini_curvilinear_grid.f.xml,INI_CURVILINEAR_GRID
ini_cylinder_grid.f.xml,INI_CYLINDER_GRID
ini_depths.f.xml,INI_DEPTHS
ini_dynvars.f.xml,INI_DYNVARS
ini_eos.f.xml,EOS_CHECK
ini_eos.f.xml,INI_EOS
ini_ffields.f.xml,INI_FFIELDS
ini_fields.f.xml,INI_FIELDS
ini_forcing.f.xml,INI_FORCING
ini_global_domain.f.xml,INI_GLOBAL_DOMAIN
ini_grid.f.xml,INI_GRID
ini_linear_phisurf.f.xml,INI_LINEAR_PHISURF
ini_local_grid.f.xml,INI_LOCAL_GRID
ini_masks_etc.f.xml,INI_MASKS_ETC
ini_mixing.f.xml,INI_MIXING
ini_mnc_vars.f.xml,INI_MNC_VARS
ini_model_io.f.xml,INI_MODEL_IO
ini_nh_fields.f.xml,INI_NH_FIELDS
ini_nh_vars.f.xml,INI_NH_VARS
ini_nlfs_vars.f.xml,INI_NLFS_VARS
ini_p_ground.f.xml,INI_P_GROUND
ini_p_ground.f.xml,ANALYLIC_THETA
ini_parms.f.xml,INI_PARMS
ini_pressure.f.xml,INI_PRESSURE
ini_procs.f.xml,INI_PROCS
ini_psurf.f.xml,INI_PSURF
ini_salt.f.xml,INI_SALT
ini_sigma_hfac.f.xml,INI_SIGMA_HFAC
ini_spherical_polar_grid.f.xml,INI_SPHERICAL_POLAR_GRID
ini_theta.f.xml,INI_THETA
ini_threading_environment.f.xml,INI_THREADING_ENVIRONMENT
ini_vel.f.xml,INI_VEL
ini_vertical_grid.f.xml,INI_VERTICAL_GRID
initialise_fixed.f.xml,INITIALISE_FIXED
initialise_varia.f.xml,INITIALISE_VARIA
integr_continuity.f.xml,INTEGR_CONTINUITY
integrate_for_w.f.xml,INTEGRATE_FOR_W
lef_zero.f.xml,LEF_ZERO
load_fields_driver.f.xml,LOAD_FIELDS_DRIVER
load_grid_spacing.f.xml,LOAD_GRID_SPACING
load_ref_files.f.xml,LOAD_REF_FILES
main.f.xml,PTREENTRY
main_do_loop.f.xml,MAIN_DO_LOOP
master_cpu_io.f.xml,MASTER_CPU_IO
master_cpu_thread.f.xml,MASTER_CPU_THREAD
mds_byteswapi4.f.xml,MDS_BYTESWAPI4
mds_byteswapr4.f.xml,MDS_BYTESWAPR4
